dataset,n_base_classifiers,n_objetos_gerados,qtde_classifiers,classifier_type,acc1,acc2,acc3,acc4,acc5,acc_mean,time_to_run
load_statlog_vehicle,20,10,6,perceptron,0.6176470588235294,0.5857988165680473,0.6627218934911243,0.6035502958579881,0.6745562130177515,0.6288548555516882,2.7469637393951416
load_statlog_vehicle,20,10,8,perceptron,0.5176470588235295,0.5325443786982249,0.4911242603550296,0.48520710059171596,0.621301775147929,0.5295649147232857,2.82415509223938
load_statlog_vehicle,20,10,10,perceptron,0.6352941176470588,0.6094674556213018,0.5266272189349113,0.6035502958579881,0.591715976331361,0.5933310128785242,2.9145634174346924
load_statlog_vehicle,20,10,20,perceptron,0.6764705882352942,0.6094674556213018,0.5384615384615384,0.6094674556213018,0.5325443786982249,0.5932822833275322,1.071049690246582
load_gamma_telecope,20,10,2,perceptron,0.7394847528916929,0.7765509989484752,0.7415878023133544,0.7778654048370137,0.7815457413249212,0.7634069400630915,51.945058822631836
load_gamma_telecope,20,10,4,perceptron,0.7471083070452156,0.7655099894847529,0.7613038906414301,0.7844374342797056,0.7497371188222923,0.7616193480546792,53.38204526901245
load_gamma_telecope,20,10,6,perceptron,0.7631440588853838,0.7689274447949527,0.7641955835962145,0.7836487907465826,0.7712933753943217,0.7702418506834912,55.262529134750366
load_gamma_telecope,20,10,8,perceptron,0.7531545741324921,0.7789169295478444,0.7602523659305994,0.7726077812828601,0.7413249211356467,0.7612513144058886,56.78296208381653
load_gamma_telecope,20,10,10,perceptron,0.768664563617245,0.7681388012618297,0.7665615141955836,0.7726077812828601,0.7810199789695058,0.7713985278654049,58.82245898246765
load_gamma_telecope,20,10,20,perceptron,0.7649842271293376,0.7605152471083071,0.7494742376445847,0.7271293375394322,0.7849631966351209,0.7574132492113564,18.437854528427124
load_pen_digit_recognition,20,10,2,perceptron,0.81218735788995,0.791268758526603,0.8089171974522293,0.8039126478616925,0.7843494085532302,0.800127074056741,53.93009567260742
load_pen_digit_recognition,20,10,4,perceptron,0.745793542519327,0.7939972714870396,0.6924476797088263,0.7511373976342129,0.7283894449499545,0.7423530672598722,54.935410261154175
load_pen_digit_recognition,20,10,6,perceptron,0.779899954524784,0.749431559799909,0.7779799818016379,0.7761601455868972,0.7438580527752502,0.7654659388976957,55.810324907302856
load_pen_digit_recognition,20,10,8,perceptron,0.7526148249204184,0.7548885857207822,0.7579617834394905,0.7579617834394905,0.8198362147406734,0.7686526384521709,56.864667892456055
load_pen_digit_recognition,20,10,10,perceptron,0.8012733060482037,0.7371532514779445,0.8221110100090991,0.8325750682438581,0.8166515013648772,0.8019528274287964,57.737837076187134
load_pen_digit_recognition,20,10,20,perceptron,0.7812642110050023,0.7594361073215098,0.7556869881710646,0.8102820746132848,0.6960873521383075,0.7605513466498339,13.52232313156128
load_leaf,20,10,2,perceptron,0.3088235294117647,0.35294117647058826,0.20588235294117646,0.3235294117647059,0.2647058823529412,0.29117647058823526,2.6906349658966064
load_leaf,20,10,4,perceptron,0.25,0.2647058823529412,0.16176470588235295,0.17647058823529413,0.3382352941176471,0.23823529411764705,2.706679105758667
load_leaf,20,10,6,perceptron,0.3235294117647059,0.38235294117647056,0.2647058823529412,0.27941176470588236,0.38235294117647056,0.3264705882352941,2.7386183738708496
load_leaf,20,10,8,perceptron,0.3382352941176471,0.27941176470588236,0.35294117647058826,0.36764705882352944,0.38235294117647056,0.34411764705882353,2.7625772953033447
load_leaf,20,10,10,perceptron,0.3235294117647059,0.29411764705882354,0.35294117647058826,0.27941176470588236,0.39705882352941174,0.32941176470588235,2.7872273921966553
load_leaf,20,10,20,perceptron,0.23529411764705882,0.22058823529411764,0.25,0.2647058823529412,0.27941176470588236,0.25,1.4097013473510742
load_accent_recognition,20,10,2,perceptron,0.6363636363636364,0.6515151515151515,0.5909090909090909,0.6363636363636364,0.49230769230769234,0.6014918414918415,1.1630349159240723
load_accent_recognition,20,10,4,perceptron,0.6212121212121212,0.6363636363636364,0.5454545454545454,0.6666666666666666,0.5230769230769231,0.5985547785547786,1.1891427040100098
load_accent_recognition,20,10,6,perceptron,0.6212121212121212,0.5909090909090909,0.5757575757575758,0.6212121212121212,0.6153846153846154,0.6048951048951049,1.224363088607788
load_accent_recognition,20,10,8,perceptron,0.6363636363636364,0.6060606060606061,0.5909090909090909,0.6515151515151515,0.5230769230769231,0.6015850815850816,1.2465746402740479
load_accent_recognition,20,10,10,perceptron,0.6515151515151515,0.6666666666666666,0.5909090909090909,0.5606060606060606,0.5230769230769231,0.5985547785547786,1.2803702354431152
load_accent_recognition,20,10,20,perceptron,0.696969696969697,0.6212121212121212,0.5757575757575758,0.7424242424242424,0.5076923076923077,0.6288111888111889,0.5769956111907959
load_statlog_sattelite_image,20,10,2,perceptron,0.7731157731157731,0.7264957264957265,0.7668997668997669,0.7591297591297591,0.721056721056721,0.7493395493395493,31.83790946006775
load_statlog_sattelite_image,20,10,4,perceptron,0.7964257964257965,0.745920745920746,0.7808857808857809,0.7995337995337995,0.7350427350427351,0.7715617715617716,32.289793491363525
load_statlog_sattelite_image,20,10,6,perceptron,0.7544677544677545,0.7668997668997669,0.8205128205128205,0.8096348096348096,0.8018648018648019,0.7906759906759906,32.88882541656494
load_statlog_sattelite_image,20,10,8,perceptron,0.7645687645687645,0.777000777000777,0.7614607614607615,0.7614607614607615,0.763014763014763,0.7655011655011655,33.415313720703125
load_statlog_sattelite_image,20,10,10,perceptron,0.7715617715617715,0.7474747474747475,0.7731157731157731,0.7544677544677545,0.7482517482517482,0.7589743589743589,33.96661305427551
load_statlog_sattelite_image,20,10,20,perceptron,0.7567987567987567,0.7365967365967366,0.7668997668997669,0.721056721056721,0.7606837606837606,0.7484071484071484,7.833840847015381
load_electrical_grid_stability,20,10,2,naive-bayes,0.9735,0.9825,0.979,0.9815,0.977,0.9787000000000001,37.39227342605591
load_electrical_grid_stability,20,10,4,naive-bayes,0.9755,0.981,0.9805,0.9815,0.9755,0.9788,38.71350383758545
load_electrical_grid_stability,20,10,6,naive-bayes,0.9735,0.983,0.982,0.9815,0.9765,0.9793000000000001,40.502601146698
load_electrical_grid_stability,20,10,8,naive-bayes,0.975,0.981,0.981,0.981,0.9755,0.9786999999999999,42.06738042831421
load_electrical_grid_stability,20,10,10,naive-bayes,0.9735,0.9835,0.981,0.9815,0.9755,0.9790000000000001,43.94263529777527
load_electrical_grid_stability,20,10,20,naive-bayes,0.973,0.9815,0.9815,0.981,0.9755,0.9785,17.026315450668335
load_htru_pulsar,20,10,2,naive-bayes,0.9483240223463687,0.9388268156424581,0.9466480446927374,0.9497066219614417,0.942162615255658,0.9451336239797328,97.40520453453064
load_htru_pulsar,20,10,4,naive-bayes,0.9488826815642458,0.9382681564245811,0.9466480446927374,0.9516624755518301,0.9424420229114278,0.9455806762289644,100.25053358078003
load_htru_pulsar,20,10,6,naive-bayes,0.946927374301676,0.9382681564245811,0.9458100558659218,0.9519418832075999,0.942162615255658,0.9450220170110872,103.29663228988647
load_htru_pulsar,20,10,8,naive-bayes,0.9474860335195531,0.9388268156424581,0.9463687150837988,0.9508242525845209,0.9427214305671976,0.9452454494795056,105.95399498939514
load_htru_pulsar,20,10,10,naive-bayes,0.946927374301676,0.9377094972067039,0.9466480446927374,0.950544844928751,0.942162615255658,0.9447984752771053,108.98248505592346
load_htru_pulsar,20,10,20,naive-bayes,0.9472067039106146,0.9388268156424581,0.9463687150837988,0.950544844928751,0.942162615255658,0.945021938964256,29.325408220291138
load_image_segmentation,20,10,2,naive-bayes,0.7727272727272727,0.7878787878787878,0.8376623376623377,0.7878787878787878,0.7943722943722944,0.7961038961038961,13.850023031234741
load_image_segmentation,20,10,4,naive-bayes,0.7813852813852814,0.7813852813852814,0.8376623376623377,0.7922077922077922,0.7835497835497836,0.7952380952380953,14.759570837020874
load_image_segmentation,20,10,6,naive-bayes,0.7857142857142857,0.7922077922077922,0.841991341991342,0.8008658008658008,0.7987012987012987,0.8038961038961038,15.524837970733643
load_image_segmentation,20,10,8,naive-bayes,0.7813852813852814,0.7943722943722944,0.8398268398268398,0.8008658008658008,0.803030303030303,0.8038961038961039,16.352697134017944
load_image_segmentation,20,10,10,naive-bayes,0.7792207792207793,0.7857142857142857,0.8354978354978355,0.7965367965367965,0.7965367965367965,0.7987012987012988,17.10817790031433
load_image_segmentation,20,10,20,naive-bayes,0.7813852813852814,0.79004329004329,0.8398268398268398,0.7987012987012987,0.7922077922077922,0.8004329004329005,8.193001747131348
load_rice,20,10,2,naive-bayes,0.9821281275776739,0.9865273577124003,0.9843277426450371,0.9829529832279351,0.9818531756942535,0.9835578773714599,66.02875566482544
load_rice,20,10,4,naive-bayes,0.9832279351113555,0.9857025020621392,0.9843277426450371,0.9832279351113555,0.9810283200439923,0.983502886994776,68.96056652069092
load_rice,20,10,6,naive-bayes,0.9829529832279351,0.9862524058289799,0.9848776464118779,0.9832279351113555,0.9818531756942535,0.9838328292548806,71.81223630905151
load_rice,20,10,8,naive-bayes,0.9832279351113555,0.9857025020621392,0.9843277426450371,0.9832279351113555,0.9810283200439923,0.983502886994776,74.89926385879517
load_rice,20,10,10,naive-bayes,0.9829529832279351,0.9862524058289799,0.9840527907616167,0.9832279351113555,0.9810283200439923,0.983502886994776,79.16158986091614
load_rice,20,10,20,naive-bayes,0.9829529832279351,0.9865273577124003,0.9840527907616167,0.9832279351113555,0.9810283200439923,0.9835578773714599,32.56367015838623
load_statlog_vehicle,20,10,2,naive-bayes,0.5411764705882353,0.4970414201183432,0.48520710059171596,0.38461538461538464,0.42011834319526625,0.46563174382178907,4.180348634719849
load_statlog_vehicle,20,10,4,naive-bayes,0.5235294117647059,0.4911242603550296,0.4911242603550296,0.38461538461538464,0.4556213017751479,0.4692029237730595,4.385118722915649
load_statlog_vehicle,20,10,6,naive-bayes,0.5058823529411764,0.4556213017751479,0.48520710059171596,0.3727810650887574,0.4319526627218935,0.4502888966237382,4.596277952194214
load_statlog_vehicle,20,10,8,naive-bayes,0.5058823529411764,0.46745562130177515,0.48520710059171596,0.38461538461538464,0.4556213017751479,0.45975635224504,4.805391311645508
load_statlog_vehicle,20,10,10,naive-bayes,0.5411764705882353,0.4911242603550296,0.514792899408284,0.378698224852071,0.47337278106508873,0.4798329272537417,5.02735710144043
load_statlog_vehicle,20,10,20,naive-bayes,0.5352941176470588,0.46745562130177515,0.4911242603550296,0.40236686390532544,0.4378698224852071,0.46682213713887927,2.2315995693206787
load_gamma_telecope,20,10,2,naive-bayes,0.7273922187171399,0.7092534174553102,0.7179284963196635,0.7431650893796005,0.7407991587802313,0.727707676130389,71.90789651870728
load_gamma_telecope,20,10,4,naive-bayes,0.7289695057833859,0.7092534174553102,0.7150368033648791,0.7423764458464774,0.7368559411146162,0.7264984227129339,75.15602469444275
load_gamma_telecope,20,10,6,naive-bayes,0.7284437434279706,0.7113564668769716,0.7155625657202944,0.7431650893796005,0.7379074658254469,0.7272870662460569,78.36231207847595
load_gamma_telecope,20,10,8,naive-bayes,0.7287066246056783,0.7084647739221872,0.7145110410094637,0.7415878023133544,0.7392218717139852,0.7264984227129337,81.63811802864075
load_gamma_telecope,20,10,10,naive-bayes,0.7284437434279706,0.7095162986330179,0.7158254468980021,0.7423764458464774,0.7381703470031545,0.7268664563617244,85.37250709533691
load_gamma_telecope,20,10,20,naive-bayes,0.7281808622502629,0.7095162986330179,0.7163512092534174,0.7426393270241851,0.7376445846477392,0.7268664563617245,33.95290732383728
load_pen_digit_recognition,20,10,2,naive-bayes,0.8562983174170077,0.8476580263756253,0.859417652411283,0.8616924476797089,0.8525932666060054,0.8555319420979259,104.78402185440063
load_pen_digit_recognition,20,10,4,naive-bayes,0.8544793087767167,0.848112778535698,0.8607825295723385,0.862147406733394,0.8512283894449499,0.8553500826126192,107.91283655166626
load_pen_digit_recognition,20,10,6,naive-bayes,0.8590268303774443,0.846293769895407,0.859417652411283,0.8653321201091901,0.8535031847133758,0.85671471150134,111.35309791564941
load_pen_digit_recognition,20,10,8,naive-bayes,0.8631195998180992,0.8467485220554798,0.8626023657870792,0.8639672429481347,0.8521383075523203,0.8577152076322226,119.77534937858582
load_pen_digit_recognition,20,10,10,naive-bayes,0.8581173260572987,0.8512960436562074,0.8585077343039127,0.8639672429481347,0.8548680618744313,0.8573512817679969,124.65050745010376
load_pen_digit_recognition,20,10,20,naive-bayes,0.8572078217371533,0.8494770350159163,0.8589626933575978,0.8653321201091901,0.8525932666060054,0.8567145873651725,51.260661125183105
load_leaf,20,10,2,naive-bayes,0.6029411764705882,0.6029411764705882,0.6029411764705882,0.7352941176470589,0.6323529411764706,0.6352941176470588,6.463880300521851
load_leaf,20,10,4,naive-bayes,0.6470588235294118,0.6029411764705882,0.6029411764705882,0.6617647058823529,0.6764705882352942,0.6382352941176471,6.8941614627838135
load_leaf,20,10,6,naive-bayes,0.6764705882352942,0.6470588235294118,0.5882352941176471,0.6617647058823529,0.6617647058823529,0.6470588235294118,7.336592435836792
load_leaf,20,10,8,naive-bayes,0.6764705882352942,0.6470588235294118,0.6764705882352942,0.6911764705882353,0.6911764705882353,0.6764705882352942,7.70549464225769
load_leaf,20,10,10,naive-bayes,0.6617647058823529,0.6617647058823529,0.5882352941176471,0.7058823529411765,0.6617647058823529,0.6558823529411765,8.087978839874268
load_leaf,20,10,20,naive-bayes,0.6470588235294118,0.7352941176470589,0.6470588235294118,0.7058823529411765,0.7205882352941176,0.6911764705882353,4.244429349899292
load_accent_recognition,20,10,2,naive-bayes,0.6212121212121212,0.5757575757575758,0.4393939393939394,0.6212121212121212,0.5846153846153846,0.5684382284382286,1.894350290298462
load_accent_recognition,20,10,4,naive-bayes,0.6212121212121212,0.6666666666666666,0.42424242424242425,0.6060606060606061,0.6461538461538462,0.5928671328671329,2.001854658126831
load_accent_recognition,20,10,6,naive-bayes,0.6212121212121212,0.6060606060606061,0.5,0.6363636363636364,0.6307692307692307,0.598881118881119,2.1076738834381104
load_accent_recognition,20,10,8,naive-bayes,0.6515151515151515,0.5909090909090909,0.3939393939393939,0.6212121212121212,0.6307692307692307,0.5776689976689976,2.215789318084717
load_accent_recognition,20,10,10,naive-bayes,0.6212121212121212,0.6212121212121212,0.4696969696969697,0.6060606060606061,0.6461538461538462,0.5928671328671329,2.3162360191345215
load_accent_recognition,20,10,20,naive-bayes,0.6515151515151515,0.6060606060606061,0.45454545454545453,0.6212121212121212,0.6153846153846154,0.5897435897435898,1.1383652687072754
